UTCTIME,LOCAL_ANGLE,REMOTE_ANGLE,FREQ,PHASE,SYNC,LATENCY,FACE_DETECTED
1531302909281,-2.7446168925630565,0,0.14568552323004394,0.11950583470869856,0.15,0,1
1531302909308,-2.735813673547665,0,0.14568552323004394,0.12268177911332254,0.15,0,1
1531302909332,-2.727714712053505,0,0.14568552323004394,0.12585772351794652,0.15,0,1
1531302909357,-2.720263667478877,0,0.14568552323004394,0.1290482364840655,0.15,0,1
1531302909382,-2.7684769399115283,0,0.14568552323004394,0.13218047522964455,0.15,0,1
1531302909411,-2.7618323361873958,0,0.14568552323004394,0.1353709881872835,0.15,0,1
1531302909433,-2.8025799697798615,0,0.14568552323004394,0.13869261812205722,0.15,0,1
1531302909455,-2.8400677926849296,0,0.14568552323004394,0.14183942542065123,0.15,0,1
1531302909478,-2.8386232703760688,0,0.14568552323004394,0.14494252706868035,0.15,0,1
1531302909501,-2.839136544138502,0,0.14568552323004394,0.1480893343672744,0.15,0,1
1531302909523,-2.839608755999941,0,0.14568552323004394,0.15195000072968207,0.15,0,1
1531302909547,-2.855825367247933,0,0.14568552323004394,0.15544645329215545,0.15,0,1
1531302909570,-2.8150494780509994,0,0.14568552323004394,0.15914686557987845,0.15,0,1
1531302909593,-2.7775356599898204,0,0.14568552323004394,0.16273072945196165,0.15,0,1
1531302909615,-2.76718076415752,0,0.14568552323004394,0.16691190397221875,0.15,0,1
1531302909638,-2.7758926837396323,0,0.14568552323004394,0.17020439679248248,0.15,0,1
1531302909666,-2.7839076497551756,0,0.14568552323004394,0.1734677525151963,0.15,0,1
1531302909690,-2.8255080025028465,0,0.14568552323004394,0.1767456767824451,0.15,0,1
1531302909712,-2.8636523107867022,0,0.14568552323004394,0.17997989539912895,0.15,0,1
1531302909734,-2.9193851773626465,0,0.14568552323004394,0.18330152533390268,0.15,0,1
1531302909756,-2.9706594146125154,0,0.14568552323004394,0.18689995775900087,0.15,0,1
1531302909779,-3.0127678534119,0,0.14568552323004394,0.19017788202624963,0.15,0,1
1531302909802,-3.069955426153193,0,0.14568552323004394,0.19344123774896346,0.15,0,1
1531302909825,-3.1225679930751826,0,0.14568552323004394,0.19671916202469225,0.15,0,1
1531302909846,-3.0721098195405285,0,0.14568552323004394,0.1999679491859111,0.15,0,1
1531302909869,-3.05993120070753,0,0.14568552323004394,0.20425110356879297,0.15,0,1
1531302909893,-3.0487268713811715,0,0.14568552323004394,0.20758730205658166,0.15,0,1
1531302909916,-3.026107164430801,0,0.14568552323004394,0.2107923835672356,0.15,0,1
1531302909939,-3.0249447783547785,0,0.14568552323004394,0.2139974650778895,0.15,0,1
1531302909962,-3.0118944789715303,0,0.14568552323004394,0.21726082080060333,0.15,0,1
1531302909984,-2.999888203538942,0,0.14568552323004394,0.22048047085579223,0.15,0,1
1531302910006,-2.999156676646375,0,0.14568552323004394,0.22387494354716078,0.15,0,1
1531302910028,-3.0119913594329843,0,0.14568552323004394,0.22716743637590456,0.15,0,1
1531302910050,-3.0237992675966647,0,0.14568552323004394,0.23038708643957345,0.15,0,1
1531302910073,-3.017663743932942,0,0.14568552323004394,0.2337524220249121,0.15,0,1
1531302910096,-3.038575808327137,0,0.14568552323004394,0.2371614632692956,0.15,0,1
1531302910118,-3.0578149075697967,0,0.14568552323004394,0.24055593596066419,0.15,0,1
1531302910139,-3.047432257755325,0,0.14568552323004394,0.24403781997012258,0.15,0,1
1531302910160,-3.026224050674202,0,0.14568552323004394,0.2473011756843564,0.15,0,1
1531302910184,-3.0067125001595696,0,0.14568552323004394,0.2504625515444454,0.15,0,1
1531302910208,-2.9684708476562887,0,0.14568552323004394,0.25365306450208436,0.15,0,1
1531302910230,-2.981129853237643,0,0.14568552323004394,0.2568581460127383,0.15,0,1
1531302910252,-2.992776138372489,0,0.14568552323004394,0.26004865897037727,0.15,0,1
1531302910274,-3.0034907206965475,0,0.14568552323004394,0.2634431316617458,0.15,0,1
1531302910298,-3.000671923572199,0,0.14568552323004394,0.26669191883144466,0.15,0,1
1531302910320,-2.998078630217798,0,0.14568552323004394,0.2698824317890836,0.15,0,1
1531302910342,-3.037425169569347,0,0.14568552323004394,0.27301467053466266,0.15,0,1
1531302910364,-3.0524622126169056,0,0.14568552323004394,0.27619061493928665,0.15,0,1
1531302910386,-3.06629629222066,0,0.14568552323004394,0.2794831077680304,0.15,0,1
1531302910409,-3.067189719591497,0,0.14568552323004394,0.2831252458521735,0.15,0,1
1531302910431,-3.0140064121091994,0,0.14568552323004394,0.28633032736282743,0.15,0,1
1531302910455,-2.9650777692254855,0,0.14568552323004394,0.28952084032046643,0.15,0,1
1531302910477,-2.9766739734384635,0,0.14568552323004394,0.29278419603470024,0.15,0,1
1531302910500,-2.990319915488644,0,0.14568552323004394,0.29610582596947393,0.15,0,1
1531302910522,-3.0059678014377047,0,0.14568552323004394,0.29947116155481257,0.15,0,1
1531302910543,-3.0203638565108406,0,0.14568552323004394,0.30258883175585666,0.15,0,1
1531302910564,-3.060693622945931,0,0.14568552323004394,0.3058667560231054,0.15,0,1
1531302910587,-3.051161893158174,0,0.14568552323004394,0.30908640608677435,0.15,0,1
1531302910607,-3.0423927017534376,0,0.14568552323004394,0.31232062470345817,0.15,0,1
1531302910629,-2.9643037609212097,0,0.14568552323004394,0.31562768608521696,0.15,0,1
1531302910651,-2.89246193535556,0,0.14568552323004394,0.3190221587765855,0.15,0,1
1531302910675,-2.896240513241874,0,0.14568552323004394,0.3223000830438343,0.15,0,1
1531302910698,-2.871629738213723,0,0.14568552323004394,0.3255634387665481,0.15,0,1
